# timestamp, x, y, z, qx, qy, qz, qw
0, -1.0, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
10000000, -0.999975, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
20000000, -0.9998999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
30000000, -0.9997749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
40000000, -0.9995999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
50000000, -0.9993749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
60000000, -0.9990999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
70000000, -0.9987749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
80000000, -0.9983999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
90000000, -0.9979749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
100000000, -0.9974999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
110000000, -0.9969749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
120000000, -0.9963999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
130000000, -0.9957749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
140000000, -0.9950999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
150000000, -0.9943749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
160000000, -0.9935999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
170000000, -0.9927749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
180000000, -0.9918999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
190000000, -0.9909749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
200000000, -0.99, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
210000000, -0.9889749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
220000000, -0.9878999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
230000000, -0.9867749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
240000000, -0.9855999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
250000000, -0.9843749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
260000000, -0.9830999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
270000000, -0.9817749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
280000000, -0.9803999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
290000000, -0.9789749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
300000000, -0.9774999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
310000000, -0.9759749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
320000000, -0.9743999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
330000000, -0.9727749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
340000000, -0.9710999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
350000000, -0.9693749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
360000000, -0.9675999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
370000000, -0.9657749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
380000000, -0.9638999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
390000000, -0.9619749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
400000000, -0.96, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
410000000, -0.9579749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
420000000, -0.9558999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
430000000, -0.9537749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
440000000, -0.9515999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
450000000, -0.9493749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
460000000, -0.9470999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
470000000, -0.9447749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
480000000, -0.9423999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
490000000, -0.9399749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
500000000, -0.9374999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
510000000, -0.9349749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
520000000, -0.9323999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
530000000, -0.9297749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
540000000, -0.9270999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
550000000, -0.9243749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
560000000, -0.9215999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
570000000, -0.9187749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
580000000, -0.9158999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
590000000, -0.9129749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
600000000, -0.9099999999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
610000000, -0.9069749999999999, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
620000000, -0.9038999999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
630000000, -0.9007749999999998, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
640000000, -0.8975999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
650000000, -0.8943749999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
660000000, -0.8910999999999997, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
670000000, -0.8877749999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
680000000, -0.8843999999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
690000000, -0.8809749999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
700000000, -0.8774999999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
710000000, -0.8739749999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
720000000, -0.8703999999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
730000000, -0.8667749999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
740000000, -0.8630999999999996, -1.0, 0.5, 0.0, 0.0, 0.0, 1.0
